push_arequipan_border_title;Push Arequipan Border;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
push_arequipan_border_desc;The Arequipan viceroyalty has long threatened the heartlands of Beornia while shielding themselves from any incursion into Santiago. It is time we push our claims to the borderlands of Arequipa and create a shield for ourselves.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_rhenish_duchies_title;Integrate Rhenish Duchies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_rhenish_duchies_desc;Through advances in our Rhenish departments, we can fully integrate the disunited and disparate states on the Rhine under the banner of Burgundy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_occitania_brg_title;Integrate Provencal Nationalists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_occitania_brg_desc;The Provencals have largely been oppressed and lived under the foot of the Plantagenent monarchy. Many Protestants and nationalist Provencals seek autonomy under Burgundy rather than a Catholic, Anglois dominated monarchy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brg_county_champagne_title;Claims to the County of Champagne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brg_county_champagne_desc;Our historical claims to the county of Champagne have become more prominent now with our conquest of Champagne. Even now the existing population remember the days where the distant flag of Burgundy was front and center. It is time that this is no longer a memory.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annex_jalisco_title;Annex Jalisco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annex_jalisco_desc;Our influence has grown strong enough to bring this territory directly under our rule.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
demand_end_spanish_protectorship_title;Demand The End of the Spanish Protectorship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
